carat,cut,color,clarity,depth,table,price
0.72,Premium,I,IF,63,57,2795
0.6,Very Good,G,IF,61.6,56,2800
0.56,Very Good,E,IF,61,59,2833
0.58,Very Good,E,IF,60.6,59,2852
0.62,Fair,F,IF,60.1,61,2861
0.63,Premium,E,IF,60.3,62,2879
0.7,Very Good,H,IF,62.8,56,2882
0.51,Very Good,E,IF,63.3,58,2925
0.25,Very Good,F,IF,61.5,56,560
0.27,Very Good,F,IF,60.4,58,560
0.64,Good,F,IF,58.6,61,2980
0.6,Very Good,F,IF,60.1,54,2988
0.72,Premium,H,IF,58.7,59,3048
0.66,Very Good,G,IF,60.5,59,3051
0.71,Very Good,H,IF,63,57,3112
0.68,Very Good,G,IF,62.7,56,3143
0.72,Premium,G,IF,60.1,58,3185
0.71,Fair,F,IF,58.7,62,3205
0.82,Premium,I,IF,61.2,60,3224
0.76,Good,G,IF,64.6,61,3304
0.27,Very Good,G,IF,60.8,57,566
0.61,Very Good,E,IF,61.7,58,3337
0.71,Premium,H,IF,62.9,60,3349
0.76,Very Good,H,IF,62.6,57,3367
0.5,Good,D,IF,63.2,59,3378
0.5,Very Good,D,IF,62.9,59,3378
0.27,Very Good,F,IF,59.4,61,567
0.71,Premium,H,IF,60.2,61,3384
0.71,Good,F,IF,62.1,62,3393
0.7,Premium,E,IF,62.9,59,3403
0.72,Very Good,G,IF,63.3,54,3405
0.71,Very Good,H,IF,60.2,61,3444
0.7,Premium,G,IF,60,59,3447
0.55,Good,D,IF,58,62,3509
0.7,Very Good,G,IF,58.5,60,3543
0.71,Premium,G,IF,61.9,58,3545
0.71,Premium,F,IF,61.1,58,3578
0.71,Good,G,IF,57.8,62,3583
0.7,Premium,G,IF,62.2,58,3591
0.72,Very Good,G,IF,60.7,56,3614
0.7,Very Good,E,IF,63.4,58,3622
0.71,Premium,G,IF,62,58,3642
0.9,Good,I,IF,63.7,64,3669
0.7,Very Good,G,IF,63,59,3725
0.9,Good,I,IF,63.7,64,3734
0.53,Very Good,D,IF,59.8,60,3827
0.7,Very Good,F,IF,61.5,58,3887
0.72,Premium,E,IF,61.3,60,3951
0.56,Very Good,D,IF,62.5,59,4025
0.57,Very Good,D,IF,61.3,57,4032
0.25,Premium,F,IF,61.1,58,576
0.76,Premium,F,IF,60.6,60,4150
0.8,Premium,G,IF,62.6,58,4193
0.76,Premium,F,IF,60.6,60,4223
0.8,Premium,G,IF,62.6,58,4268
0.56,Very Good,D,IF,60.7,56,4440
0.9,Premium,I,IF,62.6,59,4516
0.9,Very Good,I,IF,62.6,59,4596
0.7,Very Good,E,IF,60.3,59,4679
0.76,Very Good,E,IF,61.9,56,4798
0.63,Very Good,D,IF,59.6,59,4800
0.82,Very Good,G,IF,61.9,57,4844
0.7,Premium,D,IF,60,59,5027
0.26,Good,E,IF,59.6,61,597
1.11,Good,J,IF,58.3,62,5361
0.9,Very Good,G,IF,63.1,58,5670
0.9,Very Good,G,IF,60.1,59,5754
0.9,Good,G,IF,63.1,58,5771
0.9,Good,G,IF,61.8,61,5855
1.21,Good,J,IF,62.1,60,6299
1.04,Very Good,H,IF,62,55,6694
1.01,Premium,H,IF,62.1,59,6702
1.05,Good,H,IF,64.3,58,6703
0.9,Good,E,IF,63.6,56,6804
0.28,Very Good,F,IF,62.2,55,612
0.28,Good,E,IF,64.6,58,612
0.8,Very Good,D,IF,63.3,57,6834
1.18,Very Good,I,IF,63.3,58,6867
1.2,Very Good,I,IF,59.1,61,7141
1.01,Premium,G,IF,61.3,58,7220
1,Premium,H,IF,60.6,57,7235
1.01,Premium,G,IF,61.3,58,7352
1.3,Premium,I,IF,61.8,58,7621
1.17,Very Good,H,IF,59.3,59,7644
